dynamics,day,years,survival_-1x,se_-1x,survival_-0.5x,se_-0.5x
capped at in-sample max sigma,848,3.365079365079365,0.93105,0.0017915900409971022,0.99055,0.0006841307440833207
capped at in-sample max sigma,849,3.369047619047619,0.9309,0.0017933932920583824,0.9905,0.0006859209138085803
capped at in-sample max sigma,850,3.373015873015873,0.93085,0.001793993833601443,0.9905,0.0006859209138085803
capped at in-sample max sigma,851,3.376984126984127,0.93075,0.0017951941051039583,0.9905,0.0006859209138085803
capped at in-sample max sigma,852,3.380952380952381,0.9307,0.0017957938356058586,0.9905,0.0006859209138085803
capped at in-sample max sigma,853,3.384920634920635,0.9306,0.0017969924874634286,0.99045,0.0006877062417922332
capped at in-sample max sigma,854,3.388888888888889,0.93055,0.0017975914093586454,0.99045,0.0006877062417922332
capped at in-sample max sigma,855,3.392857142857143,0.93045,0.0017987884464272057,0.9904,0.0006894867656452897
capped at in-sample max sigma,856,3.3968253968253967,0.9303,0.00180058198924681,0.9904,0.0006894867656452897
capped at in-sample max sigma,857,3.4007936507936507,0.9302,0.0018017763457210774,0.9904,0.0006894867656452897
capped at in-sample max sigma,858,3.4047619047619047,0.9302,0.0018017763457210774,0.9904,0.0006894867656452897
capped at in-sample max sigma,859,3.4087301587301586,0.93015,0.0018023731231351621,0.9904,0.0006894867656452897
capped at in-sample max sigma,860,3.4126984126984126,0.9299,0.0018053530125712262,0.9904,0.0006894867656452897
capped at in-sample max sigma,861,3.4166666666666665,0.92975,0.0018071377576156173,0.9904,0.0006894867656452897
capped at in-sample max sigma,862,3.4206349206349205,0.92975,0.0018071377576156173,0.9904,0.0006894867656452897
capped at in-sample max sigma,863,3.4246031746031744,0.9297,0.001807732142768945,0.9904,0.0006894867656452897
capped at in-sample max sigma,864,3.4285714285714284,0.9295,0.001810107041033762,0.9904,0.0006894867656452897
capped at in-sample max sigma,865,3.4325396825396823,0.9295,0.001810107041033762,0.9904,0.0006894867656452897
capped at in-sample max sigma,866,3.4365079365079363,0.9295,0.001810107041033762,0.9904,0.0006894867656452897
capped at in-sample max sigma,867,3.4404761904761907,0.9295,0.001810107041033762,0.9904,0.0006894867656452897
capped at in-sample max sigma,868,3.4444444444444446,0.9295,0.001810107041033762,0.9904,0.0006894867656452897
capped at in-sample max sigma,869,3.4484126984126986,0.92945,0.0018107001063124727,0.9904,0.0006894867656452897
capped at in-sample max sigma,870,3.4523809523809526,0.9294,0.0018112929083944432,0.9904,0.0006894867656452897
capped at in-sample max sigma,871,3.4563492063492065,0.92925,0.0018130697380409832,0.99035,0.0006912625224905531
capped at in-sample max sigma,872,3.4603174603174605,0.92915,0.0018142529798790463,0.99035,0.0006912625224905531
capped at in-sample max sigma,873,3.4642857142857144,0.92905,0.0018154351751026524,0.99035,0.0006912625224905531
capped at in-sample max sigma,874,3.4682539682539684,0.9289,0.0018172065100037482,0.9903,0.000693033548971478
capped at in-sample max sigma,875,3.4722222222222223,0.92885,0.0018177964338726164,0.9903,0.000693033548971478
capped at in-sample max sigma,876,3.4761904761904763,0.92875,0.0018189755014842838,0.99025,0.0006947998812607856
capped at in-sample max sigma,877,3.4801587301587302,0.9285,0.0018219186315530122,0.99025,0.0006947998812607856
capped at in-sample max sigma,878,3.484126984126984,0.9283,0.001824268483529768,0.9902,0.0006965615550688981
