,cm30,cm60,cm90,cm120,cm150,cm180,n_contracts
2013-11-01,14.901785714285714,16.082857142857144,17.157142857142855,18.003703703703703,18.529310344827586,18.93,9
2013-11-04,14.524999999999999,15.74,16.873214285714287,17.738888888888887,18.325862068965517,18.744285714285713,9
2013-11-05,14.642857142857142,15.88,17.00714285714286,17.86111111111111,18.44310344827586,18.855714285714285,9
2013-11-06,14.414285714285713,15.695714285714285,16.84107142857143,17.683333333333334,18.229310344827585,18.67142857142857,9
2013-11-07,14.948214285714286,16.132857142857144,17.2,18.005555555555556,18.57758620689655,18.978571428571428,9
2013-11-08,14.403571428571428,15.707142857142857,16.85892857142857,17.677777777777777,18.279310344827586,18.69,9
2013-11-11,14.3875,15.867142857142856,17.060714285714283,17.881481481481483,18.406896551724138,18.774285714285714,9
2013-11-12,14.489285714285714,15.93142857142857,17.128571428571426,17.955555555555556,18.47241379310345,18.90714285714286,9
2013-11-13,14.4,15.935714285714285,17.2,18.11111111111111,18.637931034482758,19.07142857142857,9
2013-11-14,14.378571428571428,15.937142857142856,17.2625,18.146296296296295,18.743103448275864,19.147142857142857,9
2013-11-15,14.2,15.854285714285714,17.20357142857143,18.116666666666667,18.71206896551724,19.11,9
2013-11-18,14.3,15.885714285714284,17.266071428571426,18.1,18.615714285714287,19.087142857142855,9
2013-11-19,14.554285714285713,16.18285714285714,17.46785714285714,18.217241379310344,18.725714285714286,19.11142857142857,9
2013-11-20,14.255714285714285,15.84142857142857,17.10892857142857,17.93793103448276,18.492857142857144,18.92142857142857,8
2013-11-21,13.854285714285714,15.397142857142857,16.7,17.506896551724136,18.062857142857144,18.534285714285716,8
2013-11-22,13.782857142857143,15.154285714285713,16.479629629629628,17.325862068965517,17.87857142857143,18.35,8
2013-11-25,13.93,15.139285714285714,16.418518518518518,17.2448275862069,17.837142857142858,18.348214285714285,9
2013-11-26,14.035714285714286,15.139285714285714,16.44814814814815,17.251724137931035,17.80428571428571,18.321428571428573,9
2013-11-27,14.17142857142857,15.27142857142857,16.477777777777778,17.286206896551725,17.857142857142858,18.339285714285715,9
2013-11-29,14.327142857142857,15.407142857142858,16.58703703703704,17.358620689655172,17.888571428571428,18.3625,9
2013-12-02,14.66,15.553571428571429,16.625925925925927,17.34137931034483,17.857142857142858,18.360714285714284,9
2013-12-03,15.014285714285714,15.857142857142858,16.81111111111111,17.45862068965517,17.928571428571427,18.376785714285713,9
2013-12-04,14.775714285714287,15.8125,16.787037037037035,17.398275862068967,17.842857142857145,18.292857142857144,9
2013-12-05,15.011428571428572,15.907142857142857,16.812962962962963,17.413793103448278,17.83142857142857,18.258928571428573,9
2013-12-06,14.49,15.4875,16.43888888888889,17.060344827586206,17.548571428571428,18.025,9
2013-12-09,14.38,15.371428571428572,16.266666666666666,16.898275862068967,17.332857142857144,17.803571428571427,9
2013-12-10,14.547142857142857,15.507142857142858,16.392592592592592,16.97931034482759,17.42857142857143,17.889285714285716,9
2013-12-11,15.26142857142857,16.060714285714283,16.918518518518518,17.45689655172414,17.892857142857142,18.355357142857144,9
2013-12-12,15.468571428571428,16.144642857142856,16.955555555555556,17.51379310344828,17.92142857142857,18.40714285714286,9
2013-12-13,15.5,16.214285714285715,17.07037037037037,17.587931034482757,17.947142857142858,18.3875,9
2013-12-16,15.78,16.448214285714286,17.24814814814815,17.73448275862069,18.08142857142857,18.45,9
2013-12-17,15.67,16.27857142857143,17.025925925925925,17.55,17.935714285714287,18.3125,9
2013-12-18,,15.4375,16.35,16.912857142857142,17.298571428571428,17.814285714285717,8
2013-12-19,,15.517857142857142,16.520689655172415,17.125714285714288,17.51142857142857,17.98392857142857,8
2013-12-20,,15.414285714285713,16.391379310344828,16.992857142857144,17.42142857142857,17.9,8
2013-12-23,13.9,15.07037037037037,16.070689655172412,16.735714285714284,17.16785714285714,17.703571428571426,9
2013-12-24,13.442857142857143,14.716666666666667,15.78448275862069,16.39,16.78214285714286,17.27857142857143,9
2013-12-26,13.517857142857142,14.694444444444445,15.729310344827587,16.341428571428573,16.814285714285713,17.317857142857143,9
2013-12-27,13.835714285714285,14.872222222222222,15.851724137931035,16.45714285714286,16.92142857142857,17.3875,9
2013-12-30,14.1375,15.166666666666666,16.06896551724138,16.635714285714286,17.07857142857143,17.59642857142857,9
2013-12-31,14.178571428571429,15.064814814814815,15.891379310344828,16.47,16.944642857142856,17.426785714285714,9
2014-01-02,14.503571428571428,15.427777777777779,16.21034482758621,16.728571428571428,17.176785714285714,17.682142857142857,9
2014-01-03,14.383928571428571,15.333333333333334,16.13103448275862,16.667142857142856,17.12142857142857,17.625,9
